Wavelength (nm)	K12 abs e
422.25	4384.5
422.50	3970.9
422.75	4445.0
423.00	4219.7
423.25	3932.2
423.50	4470.2
423.75	4261.7
424.00	4218.0
424.25	4043.2
424.50	4371.0
424.75	4334.0
425.00	4298.7
425.25	4270.1
425.50	4273.5
425.75	4366.0
426.00	4132.3
426.25	4487.0
426.50	4216.3
426.75	3708.6
427.00	4275.2
427.25	3804.5
427.50	4016.3
427.75	4135.7
428.00	4281.9
428.25	3930.6
428.50	4199.5
428.75	3918.8
429.00	3836.4
429.25	3671.7
429.50	3547.2
429.75	3703.6
430.00	3412.8
430.25	3718.7
430.50	3434.6
430.75	3577.5
431.00	3765.8
431.25	3908.7
431.50	3364.0
431.75	3172.3
432.00	3337.1
432.25	3343.8
432.50	2915.1
432.75	3130.3
433.00	3153.9
433.25	3170.7
433.50	3180.8
433.75	2743.7
434.00	2895.0
434.25	3113.5
434.50	2881.5
434.75	2968.9
435.00	2908.4
435.25	2207.4
435.50	2931.9
435.75	2629.3
436.00	2432.6
436.25	2308.2
436.50	2540.2
436.75	2138.4
437.00	2318.3
437.25	1961.9
437.50	2276.3
437.75	2056.1
438.00	2210.7
438.25	1898.0
438.50	1872.8
438.75	1800.5
439.00	1751.8
439.25	1867.8
439.50	1553.4
439.75	1533.2
440.00	1864.4
440.25	1341.6
440.50	1336.5
440.75	2002.3
441.00	1489.5
441.25	1178.5
441.50	1321.4
441.75	1089.4
442.00	1301.2
442.25	1276.0
442.50	1595.4
442.75	1265.9
443.00	1435.7
443.25	1378.6
443.50	902.78
443.75	1069.2
444.00	968.35
444.25	1037.3
444.50	1432.3
444.75	1092.8
445.00	1112.9
445.25	706.09
445.50	922.96
445.75	958.26
446.00	1176.8
446.25	780.06
446.50	887.65
446.75	1049.0
447.00	1052.4
447.25	1047.4
447.50	911.19
447.75	729.62
448.00	714.49
448.25	669.10
448.50	771.65
448.75	679.19
449.00	795.19
449.25	813.68
449.50	527.88
449.75	502.67
450.00	653.97
450.25	783.42
450.50	556.46
450.75	827.13
451.00	867.48
451.25	822.09
451.50	665.74
451.75	537.97
452.00	267.30
452.25	489.22
452.50	682.55
452.75	341.28
453.00	717.86
453.25	902.78
453.50	517.80
453.75	553.10
454.00	911.19
454.25	391.71
454.50	384.99
454.75	437.10
455.00	869.16
455.25	549.74
455.50	838.90
455.75	704.41
456.00	664.06
456.25	322.78
456.50	569.91
456.75	628.75
457.00	371.54
457.25	447.19
457.50	243.77
457.75	450.55
458.00	314.38
458.25	418.61
458.50	327.83
458.75	685.91
459.00	319.42
459.25	635.48
459.50	277.39
459.75	109.28
460.00	458.96
460.25	388.35
460.50	717.86
460.75	543.01
461.00	410.20
461.25	405.16
461.50	334.55
461.75	475.77
462.00	516.12
462.25	208.46
462.50	640.52
462.75	840.58
463.00	694.32
463.25	430.38
463.50	489.22
463.75	569.91
464.00	632.12
464.25	433.74
464.50	205.10
464.75	270.67
465.00	581.68
465.25	480.81
465.50	724.58
465.75	290.84
466.00	569.91
466.25	215.19
466.50	356.41
466.75	344.64
467.00	364.81
467.25	401.80
467.50	569.91
467.75	596.81
468.00	423.65
468.25	465.68
468.50	721.22
468.75	270.67
469.00	432.06
469.25	680.87
469.50	474.09
469.75	430.38
470.00	265.62
470.25	640.52
470.50	739.71
470.75	173.16
471.00	348.00
471.25	188.29
471.50	257.22
471.75	571.59
472.00	427.01
472.25	675.83
472.50	171.48
472.75	358.09
473.00	534.61
473.25	105.91
473.50	519.48
473.75	346.32
474.00	574.96
474.25	262.26
474.50	379.94
474.75	400.12
475.00	297.57
475.25	470.72
475.50	603.54
475.75	184.93
476.00	277.39
476.25	764.93
476.50	312.70
476.75	391.71
477.00	716.17
477.25	576.64
477.50	499.30
477.75	122.72
478.00	373.22
478.25	302.61
478.50	268.99
478.75	492.58
479.00	242.09
479.25	457.28
479.50	294.20
479.75	263.94
480.00	369.86
480.25	305.97
480.50	373.22
480.75	361.45
481.00	546.38
481.25	188.29
481.50	771.65
481.75	415.25
482.00	667.42
482.25	175.18
482.50	33.623
482.75	455.59
483.00	386.67
483.25	580.00
483.50	507.71
483.75	356.41
484.00	416.93
484.25	181.40
484.50	326.15
484.75	499.30
485.00	601.86
485.25	401.80
485.50	442.15
485.75	356.41
486.00	396.75
486.25	922.96
486.50	366.49
486.75	200.06
487.00	279.07
487.25	469.04
487.50	544.70
487.75	156.35
488.00	226.96
488.25	457.28
488.50	885.97
488.75	369.86
489.00	652.29
489.25	353.15
489.50	307.65
489.75	447.19
490.00	391.71
490.25	267.30
490.50	420.29
490.75	475.77
491.00	504.35
491.25	558.15
491.50	240.41
491.75	114.32
492.00	221.91
492.25	205.10
492.50	289.16
492.75	170.13
493.00	521.16
493.25	445.51
493.50	198.38
493.75	462.32
494.00	136.17
494.25	226.96
494.50	482.49
494.75	701.04
495.00	427.01
495.25	509.39
495.50	489.22
495.75	161.39
496.00	437.10
496.25	366.49
496.50	253.86
496.75	110.96
497.00	53.797
497.25	201.74
497.50	595.13
497.75	822.09
498.00	176.52
498.25	637.16
498.50	628.75
498.75	514.43
499.00	442.15
499.25	408.52
499.50	591.77
499.75	391.71
500.00	381.62
500.25	346.32
500.50	423.65
500.75	596.81
501.00	511.07
501.25	632.12
501.50	168.12
501.75	677.51
502.00	941.45
502.25	440.46
502.50	625.39
502.75	230.32
503.00	746.43
503.25	517.80
503.50	662.38
503.75	393.39
504.00	297.57
504.25	556.46
504.50	174.84
504.75	855.71
505.00	435.42
505.25	675.83
505.50	837.22
505.75	295.88
506.00	173.16
506.25	596.81
506.50	677.51
506.75	433.74
507.00	593.45
507.25	428.70
507.50	1028.9
507.75	780.06
508.00	453.91
508.25	346.32
508.50	348.00
508.75	590.09
509.00	386.67
509.25	845.62
509.50	736.35
509.75	875.88
510.00	795.19
510.25	610.26
510.50	808.64
510.75	643.88
511.00	845.62
511.25	682.55
511.50	368.17
511.75	933.04
512.00	680.87
512.25	1114.6
512.50	975.07
512.75	659.01
513.00	474.09
513.25	852.35
513.50	1030.6
513.75	210.15
514.00	1075.9
514.25	648.93
514.50	887.65
514.75	751.48
515.00	537.97
515.25	934.72
515.50	674.15
515.75	971.71
516.00	546.38
516.25	885.97
516.50	882.61
516.75	933.04
517.00	843.94
517.25	1089.4
517.50	810.32
517.75	1158.3
518.00	1232.3
518.25	660.70
518.50	744.75
518.75	1128.1
519.00	1000.3
519.25	1062.5
519.50	714.49
519.75	1049.0
520.00	790.15
520.25	561.51
520.50	1035.6
520.75	573.28
521.00	1170.1
521.25	1005.3
521.50	625.39
521.75	1222.2
522.00	1339.9
522.25	1366.8
522.50	914.55
522.75	1166.7
523.00	914.55
523.25	1188.6
523.50	795.19
523.75	924.64
524.00	1020.5
524.25	1346.6
524.50	1460.9
524.75	711.13
525.00	1155.0
525.25	1223.9
525.50	1615.6
525.75	1121.3
526.00	470.72
526.25	1497.9
526.50	1605.5
526.75	1146.6
527.00	1060.8
527.25	1070.9
527.50	1508.0
527.75	1272.6
528.00	1397.0
528.25	1028.9
528.50	1398.7
528.75	1326.4
529.00	1341.6
529.25	1033.9
529.50	867.48
529.75	1887.9
530.00	1326.4
530.25	1250.8
530.50	1306.3
530.75	1383.6
531.00	1501.3
531.25	1383.6
531.50	1245.7
531.75	1133.1
532.00	1524.8
532.25	1482.8
532.50	1361.7
532.75	1413.9
533.00	1392.0
533.25	1610.6
533.50	1097.8
533.75	1519.8
534.00	1674.4
534.25	1677.8
534.50	1711.4
534.75	1217.2
535.00	1644.2
535.25	1889.6
535.50	1677.8
535.75	1692.9
536.00	1539.9
536.25	1758.5
536.50	1872.8
536.75	1987.1
537.00	1529.9
537.25	1703.0
537.50	1787.1
537.75	2061.1
538.00	1967.0
538.25	2261.2
538.50	1946.8
538.75	1881.2
539.00	2568.8
539.25	1882.9
539.50	1923.2
539.75	1901.4
540.00	1797.2
540.25	2165.3
540.50	1746.7
540.75	2195.6
541.00	2024.1
541.25	1982.1
541.50	2141.8
541.75	2251.1
542.00	2409.1
542.25	2373.8
542.50	2331.8
542.75	1662.7
543.00	2047.7
543.25	2242.7
543.50	2382.2
543.75	2076.2
544.00	2251.1
544.25	2775.6
544.50	2568.8
544.75	2605.8
545.00	2269.6
545.25	2560.4
545.50	2821.0
545.75	2459.5
546.00	2158.6
546.25	2209.0
546.50	2498.2
546.75	2841.2
547.00	2432.6
547.25	2409.1
547.50	2683.1
547.75	2528.5
548.00	2583.9
548.25	2748.7
548.50	2780.6
548.75	2911.8
549.00	3058.0
549.25	2506.6
549.50	2736.9
549.75	3091.7
550.00	3290.0
550.25	3192.5
550.50	3118.6
550.75	2847.9
551.00	3382.5
551.25	2528.5
551.50	3034.5
551.75	2873.1
552.00	2678.1
552.25	3335.4
552.50	2923.5
552.75	3327.0
553.00	3106.8
553.25	3061.4
553.50	3217.7
553.75	2805.9
554.00	3443.0
554.25	3241.3
554.50	3237.9
554.75	3318.6
555.00	3311.9
555.25	3570.8
555.50	3404.3
555.75	3927.2
556.00	3063.1
556.25	3293.4
556.50	3883.5
556.75	3591.0
557.00	3429.6
557.25	3041.2
557.50	3970.9
557.75	3691.8
558.00	3538.8
558.25	3898.6
558.50	3728.8
558.75	4056.6
559.00	3624.6
559.25	3821.3
559.50	3276.6
559.75	4176.0
560.00	4051.6
560.25	4053.3
560.50	3923.8
560.75	3848.2
561.00	4591.2
561.25	3999.5
561.50	4740.9
561.75	4036.5
562.00	4097.0
562.25	4206.3
562.50	4455.1
562.75	4786.3
563.00	4135.7
563.25	4431.5
563.50	4631.6
563.75	4137.3
564.00	4604.7
564.25	4582.8
564.50	4774.5
564.75	4376.1
565.00	4771.1
565.25	4416.4
565.50	4404.6
565.75	4835.0
566.00	4623.2
566.25	4502.1
566.50	4892.2
566.75	4735.8
567.00	4646.7
567.25	4902.3
567.50	4870.3
567.75	4742.6
568.00	5246.9
568.25	4903.9
568.50	5051.9
568.75	5201.5
569.00	4994.7
569.25	4747.6
569.50	4769.5
569.75	5251.9
570.00	5643.7
570.25	4959.4
570.50	5490.7
570.75	5053.6
571.00	5510.8
571.25	5907.6
571.50	5490.7
571.75	5342.7
572.00	5310.8
572.25	5436.9
572.50	5766.4
572.75	5361.2
573.00	5547.8
573.25	5816.8
573.50	6443.9
573.75	5694.1
574.00	5963.1
574.25	6084.1
574.50	5594.9
574.75	6048.8
575.00	5811.8
575.25	6529.6
575.50	6322.8
575.75	6494.3
576.00	6585.1
576.25	6040.4
576.50	6620.4
576.75	6371.6
577.00	6354.8
577.25	6319.5
577.50	6472.5
577.75	6583.4
578.00	6257.3
578.25	6773.4
578.50	6460.7
578.75	6818.8
579.00	6591.8
579.25	6568.3
579.50	7082.7
579.75	6923.0
580.00	7134.8
580.25	6551.5
580.50	6875.9
580.75	6739.8
581.00	7045.7
581.25	7208.8
581.50	7173.5
581.75	7571.9
582.00	7193.7
582.25	7492.9
582.50	7783.8
582.75	7382.0
583.00	7625.7
583.25	7366.8
583.50	7304.6
583.75	7588.8
584.00	8128.4
584.25	7235.7
584.50	8005.7
584.75	8086.4
585.00	8054.4
585.25	8202.4
585.50	7965.3
585.75	8047.7
586.00	8017.5
586.25	8733.6
586.50	8264.6
586.75	7872.9
587.00	8368.8
587.25	8496.6
587.50	8511.7
587.75	8510.0
588.00	8937.0
588.25	8938.7
588.50	8664.7
588.75	9066.5
589.00	8491.5
589.25	9002.6
589.50	8861.4
589.75	8851.3
590.00	9204.4
590.25	9273.3
590.50	9475.0
590.75	9118.6
591.00	9601.1
591.25	9211.1
591.50	9399.4
591.75	9271.6
592.00	9728.9
592.25	10021
592.50	9678.4
592.75	9942.4
593.00	10198
593.25	10154
593.50	10003
593.75	10102
594.00	10620
594.25	10040
594.50	10385
594.75	9902.0
595.00	10985
595.25	10838
595.50	10941
595.75	10975
596.00	10882
596.25	11259
596.50	11025
596.75	11212
597.00	10926
597.25	11333
597.50	11405
597.75	11482
598.00	11708
598.25	11711
598.50	12217
598.75	11743
599.00	11938
599.25	12019
599.50	12002
599.75	12284
600.00	12143
600.25	11918
600.50	12261
600.75	12439
