Wavelength (nm)	H09 abs e
496.25	20.459
496.50	34.440
496.75	37.509
497.00	22.846
497.25	0.34099
497.50	-12.617
497.75	-25.915
498.00	22.164
498.25	-6.1378
498.50	-3.4099
498.75	21.141
499.00	57.286
499.25	17.390
499.50	-32.053
499.75	1.0230
500.00	4.4328
