Wavelength (nm)	Q05 abs e
633.00	861.93
633.25	77.528
633.50	77.528
633.75	-63.847
634.00	948.58
634.25	560.94
634.50	-223.46
634.75	957.70
635.00	-246.27
635.25	697.76
635.50	-54.726
635.75	1559.7
636.00	871.05
636.25	-547.26
636.50	342.04
636.75	-159.62
637.00	1555.1
637.25	825.45
637.50	1181.2
637.75	1473.0
638.00	-13.681
638.25	-255.39
638.50	-91.210
638.75	985.07
639.00	1017.0
639.25	-145.94
639.50	22.803
639.75	752.48
640.00	1076.3
640.25	1929.1
640.50	1983.8
640.75	1349.9
641.00	-223.46
641.25	1272.4
641.50	-145.94
641.75	82.089
642.00	779.84
642.25	1249.6
642.50	1678.3
642.75	538.14
643.00	-104.89
643.25	720.56
643.50	1254.1
643.75	469.73
644.00	-77.528
644.25	419.57
644.50	752.48
644.75	387.64
645.00	743.36
645.25	506.21
645.50	-50.165
645.75	437.81
646.00	41.045
646.25	1509.5
646.50	583.74
646.75	834.57
647.00	-259.95
647.25	674.95
647.50	711.44
647.75	-132.25
648.00	-150.50
648.25	643.03
648.50	1359.0
648.75	456.05
649.00	1080.8
649.25	123.13
649.50	-337.48
649.75	63.847
650.00	-4.5600
650.25	761.60
650.50	-118.57
650.75	-114.01
651.00	-720.56
651.25	-9.1207
651.50	-145.94
651.75	291.87
652.00	921.22
652.25	-702.32
652.50	-31.924
652.75	104.89
653.00	1003.3
653.25	1030.7
653.50	246.27
653.75	-9.1207
654.00	898.42
654.25	223.46
654.50	1441.1
654.75	483.41
655.00	-597.42
655.25	118.57
655.50	998.75
655.75	-953.14
656.00	538.14
656.25	-205.22
656.50	255.39
656.75	807.21
657.00	1500.4
657.25	314.67
657.50	1897.2
657.75	588.30
658.00	433.25
658.25	825.45
658.50	1632.7
658.75	-214.34
659.00	-118.57
659.25	-136.81
659.50	68.408
659.75	-255.39
660.00	-383.08
660.25	524.46
660.50	-54.726
660.75	953.14
661.00	579.18
661.25	-250.83
661.50	866.49
661.75	373.96
662.00	1076.3
662.25	816.33
662.50	-560.94
662.75	957.70
663.00	332.92
663.25	-287.31
663.50	784.40
663.75	670.39
664.00	-45.605
664.25	250.83
664.50	693.20
664.75	328.36
665.00	-442.37
665.25	583.74
665.50	1276.9
665.75	196.10
666.00	1527.8
666.25	-697.76
666.50	132.25
666.75	1121.9
667.00	506.21
667.25	1249.6
667.50	725.12
667.75	428.69
668.00	688.63
668.25	524.46
668.50	939.46
668.75	-474.29
669.00	127.69
669.25	-706.88
669.50	-296.43
669.75	615.67
670.00	-314.67
670.25	-31.924
670.50	1290.6
670.75	-889.30
671.00	-570.06
671.25	1951.9
671.50	31.923
671.75	793.53
672.00	-665.83
672.25	-711.44
672.50	925.78
672.75	934.90
673.00	1007.9
673.25	492.53
673.50	670.39
673.75	300.99
674.00	27.363
674.25	355.72
674.50	-975.95
674.75	-68.407
675.00	-533.58
675.25	1108.2
675.50	-652.15
675.75	-91.210
676.00	-424.13
676.25	209.78
676.50	77.528
676.75	50.165
677.00	-282.75
677.25	615.67
677.50	392.20
677.75	501.65
678.00	433.25
678.25	-232.59
678.50	615.67
678.75	629.35
679.00	-355.72
679.25	-337.48
679.50	-437.81
679.75	437.81
680.00	-209.78
680.25	54.726
680.50	1235.9
680.75	921.22
681.00	442.37
681.25	-191.54
681.50	-665.83
681.75	-200.66
682.00	820.89
682.25	629.35
682.50	501.65
682.75	273.63
683.00	-542.70
683.25	825.45
683.50	779.84
683.75	898.42
684.00	241.71
684.25	-1007.9
684.50	456.05
684.75	373.96
685.00	-82.088
685.25	-396.76
685.50	228.03
685.75	551.82
686.00	-693.19
686.25	177.86
686.50	816.33
686.75	373.96
687.00	670.39
687.25	-36.483
687.50	282.75
687.75	807.21
688.00	109.45
688.25	291.87
688.50	13.682
688.75	123.13
689.00	-405.88
689.25	1067.2
689.50	647.59
689.75	1281.5
690.00	-775.28
690.25	305.55
690.50	-13.681
690.75	966.83
691.00	-136.81
691.25	1336.2
691.50	-278.19
691.75	-373.96
692.00	465.17
692.25	492.53
692.50	451.49
692.75	-839.13
693.00	834.57
693.25	793.53
693.50	4.5606
693.75	-196.10
694.00	-269.07
694.25	-962.26
694.50	747.92
694.75	-332.92
695.00	45.605
695.25	1099.1
695.50	-136.81
695.75	228.03
696.00	2088.7
696.25	839.13
696.50	-200.66
696.75	-688.63
697.00	22.803
697.25	-875.61
697.50	-145.94
697.75	1527.8
698.00	22.803
698.25	665.83
698.50	775.28
698.75	711.44
699.00	-579.18
699.25	-583.74
699.50	1103.6
699.75	629.35
700.00	-702.32
