Wavelength (nm)	N08 abs e
583.75	5621.1
584.00	5402.5
584.25	5087.4
584.50	5098.6
584.75	4913.5
585.00	4597.6
585.25	4483.3
585.50	4115.6
585.75	3910.8
586.00	3709.7
586.25	3610.6
586.50	3625.6
586.75	3387.3
587.00	3240.2
587.25	2993.5
587.50	3045.8
587.75	2694.1
588.00	2802.7
588.25	2596.3
588.50	2564.9
588.75	2369.9
589.00	2224.4
589.25	2169.4
589.50	2198.8
589.75	2049.5
590.00	1903.2
590.25	1887.8
590.50	1793.2
590.75	1879.0
591.00	1684.8
591.25	1473.8
591.50	1544.3
591.75	1417.8
592.00	1432.1
592.25	1413.6
592.50	1290.9
592.75	1348.5
593.00	1175.6
593.25	1126.7
593.50	1080.0
593.75	901.03
594.00	1060.5
594.25	1103.7
594.50	932.30
594.75	928.27
595.00	878.59
595.25	806.10
595.50	614.18
595.75	781.30
596.00	646.43
596.25	825.73
596.50	566.10
596.75	756.05
597.00	688.88
597.25	647.57
597.50	675.49
597.75	705.69
598.00	609.61
598.25	533.32
598.50	661.65
598.75	740.53
599.00	593.49
599.25	454.81
599.50	405.14
599.75	308.31
600.00	173.44
600.25	226.46
600.50	360.11
600.75	455.73
601.00	328.46
601.25	465.92
601.50	486.23
601.75	269.97
602.00	346.57
602.25	231.48
602.50	408.49
602.75	281.23
603.00	459.00
603.25	271.64
603.50	277.50
603.75	172.30
604.00	318.88
604.25	270.73
604.50	348.09
604.75	479.46
605.00	339.27
605.25	262.97
605.50	6.3898
605.75	178.08
606.00	193.82
606.25	234.67
606.50	418.53
606.75	339.95
607.00	427.20
607.25	63.365
607.50	248.74
607.75	199.07
608.00	202.65
608.25	166.67
608.50	345.96
608.75	287.16
609.00	189.56
609.25	358.97
609.50	143.47
609.75	76.297
610.00	315.69
610.25	201.35
610.50	103.76
610.75	62.452
611.00	305.64
611.25	174.58
611.50	423.09
611.75	7.5308
612.00	258.33
612.25	240.61
612.50	206.91
612.75	30.199
613.00	77.894
613.25	182.64
613.50	111.67
613.75	143.39
614.00	180.43
614.25	171.08
614.50	261.37
614.75	258.86
615.00	114.10
615.25	220.37
615.50	300.78
615.75	143.09
616.00	61.463
616.25	14.073
616.50	369.85
616.75	352.88
617.00	303.97
617.25	-59.866
617.50	247.22
617.75	119.20
618.00	153.96
618.25	186.44
618.50	-16.127
618.75	217.18
619.00	312.79
619.25	227.37
619.50	129.77
619.75	189.64
620.00	272.33
620.25	113.87
620.50	128.10
620.75	208.50
621.00	218.93
621.25	207.29
621.50	66.332
621.75	92.728
622.00	173.89
622.25	207.13
622.50	85.197
622.75	207.44
623.00	135.71
623.25	193.29
623.50	188.50
623.75	281.07
624.00	-41.686
624.25	39.480
624.50	333.64
624.75	27.613
625.00	272.33
625.25	229.50
625.50	185.91
625.75	94.401
626.00	206.75
626.25	70.364
626.50	237.49
626.75	156.63
627.00	233.23
627.25	70.211
627.50	178.00
627.75	258.41
628.00	117.45
628.25	222.96
628.50	37.122
628.75	122.09
629.00	223.79
629.25	180.21
629.50	62.072
629.75	-12.703
630.00	-17.496
630.25	5.0966
630.50	226.23
630.75	265.56
631.00	171.76
631.25	151.00
631.50	219.23
631.75	98.052
632.00	88.696
632.25	124.98
632.50	56.291
632.75	31.721
633.00	100.71
633.25	282.29
633.50	230.34
633.75	75.688
634.00	112.73
634.25	81.317
634.50	133.58
634.75	107.49
635.00	15.214
635.25	203.64
635.50	230.03
635.75	315.76
636.00	89.609
636.25	177.62
636.50	58.725
636.75	209.87
637.00	110.00
637.25	72.493
637.50	149.86
637.75	137.46
638.00	191.24
638.25	188.73
638.50	97.976
638.75	-45.261
639.00	102.84
639.25	133.80
639.50	256.05
639.75	181.27
640.00	103.45
640.25	-25.331
640.50	177.54
640.75	67.777
641.00	128.40
641.25	161.65
641.50	118.06
641.75	246.39
642.00	233.99
642.25	142.48
642.50	138.44
642.75	129.85
643.00	74.852
643.25	202.42
643.50	221.21
643.75	286.40
644.00	188.04
644.25	-3.8795
644.50	68.918
644.75	130.31
645.00	43.359
645.25	303.29
645.50	291.65
645.75	117.98
646.00	196.10
646.25	273.47
646.50	129.47
646.75	135.33
647.00	112.28
647.25	158.45
647.50	142.25
647.75	327.63
648.00	233.84
648.25	201.66
648.50	37.121
648.75	214.13
649.00	128.71
649.25	160.43
649.50	211.17
649.75	325.80
650.00	103.45
650.25	186.90
